1,3,AL,5024279,3220452,1296162,33625,76660,2984,137443,264047
2,4,AK,733391,435392,21898,111575,44032,12698,18272,49824
4,4,AZ,7151502,4322337,339150,319512,257430,16397,899870,2192253
5,3,AR,3011524,2114512,453783,27177,51839,14533,136105,256847
6,4,CA,39538223,16296122,2237044,631016,6085947,157263,8370596,15579652
8,4,CO,5773714,4082927,234828,74129,199827,10287,464046,1263390
9,1,CT,3605944,2395128,388675,16051,172455,1598,299133,623293
10,3,DE,989948,597763,218899,5148,42699,412,48509,104290
12,3,FL,21538187,12422961,3246381,94795,643682,14014,1564282,5697240
13,3,GA,10711908,5555483,3320513,50618,479028,7299,555059,1123457
15,4,HI,1455271,333261,23417,4370,541902,157445,26747,138923
16,4,ID,1839106,1510360,15726,25621,26836,3726,103632,239407
17,2,IL,12812508,7868227,1808271,96498,754878,4501,1135149,2337410
18,2,IN,6785528,5241795,648513,26086,167959,3137,261312,554191
19,2,IA,3190369,2694521,131972,14486,75629,5758,88720,215986
20,2,KS,2937880,2222462,168809,30995,86273,3412,145422,382603
21,3,KY,4505836,3711254,362417,12801,74426,3681,96417,207854
22,3,LA,4657757,2657652,1464023,31657,86438,1911,142699,322549
23,1,ME,1362359,1237041,25752,7885,16798,443,9730,26609
24,3,MD,6177224,3007874,1820472,31845,420944,3247,410941,729745
25,1,MA,7029917,4896037,494029,24018,507934,2301,496731,887685
26,2,MI,10077331,7444974,1376579,61261,334300,3051,221851,564422
27,2,MN,5706494,4423146,398434,68641,299190,2918,168444,345640
28,3,MS,2961279,1658893,1084481,16450,32709,1154,56860,105220
29,2,MO,6154913,4740335,699840,30518,133377,9730,127942,303068
30,4,MT,1084225,916524,5484,67612,8300,941,14089,45199
31,2,NE,1961504,1538052,96535,23102,52951,1534,105167,234715
32,4,NV,3104614,1588463,304739,43932,272703,25011,435757,890257
33,1,NH,1377529,1216203,20127,3031,35871,453,24102,59454
34,1,NJ,9288994,5112280,1219770,51186,950090,3533,1048641,2002575
35,4,NM,2117522,1078937,45904,212241,37469,2093,318632,1010811
36,1,NY,20201249,11143349,2986172,149690,1933127,10815,2210633,3948032
37,3,NC,10439388,6488459,2140217,130032,343051,8518,617390,1118596
38,2,ND,779094,645938,26783,38914,13213,924,11382,33412
39,2,OH,11799448,9080688,1478781,30720,298509,5034,224344,521308
40,3,OK,3959353,2514885,289961,332791,90949,8608,214001,471931
41,4,OR,4237256,3169096,82655,62993,194538,19204,265431,588757
42,1,PA,13002700,9750687,1423169,31052,510501,4276,508531,1049615
44,1,RI,1097379,782920,62168,7385,38961,536,103615,182101
45,3,SC,5118425,3243442,1280531,24303,90466,3431,177876,352838
46,2,SD,886667,715336,17842,77748,13476,543,15057,38741
47,3,TN,6910840,4990938,1092948,28044,135615,4115,246282,479187
48,3,TX,29145505,14609365,3552997,278948,1585480,33611,3951366,11441717
49,4,UT,3271616,2573413,40058,41644,80438,36930,220120,492912
50,1,VT,643077,577751,9034,2289,11549,181,5247,15504
51,3,VA,8631393,5208856,1607581,40007,615436,7156,446650,908749
53,4,WA,7705281,5130920,307565,121468,730596,64933,513140,1059213
54,3,WV,1793716,1610749,65813,3706,15109,476,12919,34827
55,2,WI,5893718,4737545,376256,60428,175702,2199,182054,447290
56,4,WY,576851,488374,5232,13898,5212,579,20083,59046
72,9,PR,3285874,560592,228711,17870,4001,593,838316,3249043
