1,3,AL,4779736,3275394,1251311,28218,53595,3057,96910,185602
2,4,AK,710231,473576,23263,104871,38135,7409,11102,39249
3,5,AZ,2915918,2245229,449895,22248,36102,5863,99571,186050
4,4,AR,6392017,4667121,259008,296529,176695,12648,761716,1895149
6,4,CA,37253956,21453934,2299072,362801,4861007,144386,6317372,14013719
8,4,CO,5029196,4089202,201737,56010,139028,6623,364140,1038687
9,1,CT,3574097,2772410,362296,11256,135565,1428,198466,479087
10,3,DE,897934,618617,191814,4181,28549,400,30519,73221
12,3,FL,18801310,14109162,2999862,71458,454821,12286,681144,4223806
13,3,GA,9687653,5787440,2950435,32151,314467,6799,388872,853689
15,4,HI,1360301,336599,21424,4164,525078,135422,16985,120842
16,4,ID,1567582,1396487,9810,21441,19069,2317,79523,175901
17,2,IL,12830632,9177877,1866414,43963,586934,4050,861412,2027578
18,2,IN,6483802,5467906,591397,18462,102474,2348,173314,389707
19,2,IA,3046355,2781561,89148,11084,53094,2003,56132,151544
20,2,KS,2853118,2391044,167864,28150,67762,2238,110127,300042
21,3,KY,4339367,3809537,337520,10120,48930,2501,55551,132836
22,3,LA,4533372,2836192,1452396,30579,70132,1963,69227,192560
23,1,ME,1328361,1264971,15707,8568,13571,342,4261,16935
24,3,MD,5773552,3359284,1700298,20420,318853,3157,206832,470632
25,1,MA,6547629,5265236,434398,18850,349768,2223,305151,627654
26,2,MI,9883640,7803120,1400362,62007,238199,2604,147029,436358
27,2,MN,5303925,4524062,274412,60916,214234,2156,103000,250258
28,3,MS,2967297,1754684,1098385,15030,25742,1187,38162,81481
29,2,MO,5988927,4958770,693391,27376,98083,6261,80457,212470
30,4,MT,989415,884961,4027,62555,6253,668,5975,28565
31,2,NE,1826341,1572838,82885,18427,32293,1279,79109,167405
32,4,NV,2700551,1786688,218626,32062,195436,16871,324793,716501
33,1,NH,1316470,1236050,15035,3150,28407,384,12062,36704
34,1,NJ,8791894,6029248,1204826,29026,725726,3043,559722,1555144
35,4,NM,2059179,1407876,42550,193222,28208,1810,308503,953403
36,1,NY,19378102,12740974,3073800,106906,1420244,8766,1441563,3416922
37,3,NC,9535483,6528950,2048628,122110,208962,6604,414030,800120
38,2,ND,672591,605449,7960,36591,6909,320,3509,13467
39,2,OH,11536504,9539437,1407681,25292,192233,4066,130030,354674
40,4,OK,3751351,2706845,277644,321687,65076,4369,154409,332007
41,4,OR,3831074,3204614,69206,53203,141263,13404,204625,450062
42,1,PA,12702379,10406288,1377689,26843,349088,3653,300983,719660
44,1,RI,1052567,856869,60189,6058,30457,554,63653,130655
45,3,SC,4625364,3060000,1290684,19524,59051,2706,113464,235682
46,2,SD,814180,699392,10207,71817,7610,394,7477,22119
47,3,TN,6346105,4921948,1057315,19994,91242,3642,141955,290059
48,3,TX,25145561,17701552,2979598,170972,964596,21656,2628186,9460921
49,4,UT,2763885,2379560,29287,32927,55285,24554,166754,358340
50,1,VT,625741,596292,6277,2207,7947,160,2105,9208
51,3,VA,8001024,5486852,1551399,29225,439890,5980,254278,631825
53,4,WA,6724540,5196362,240042,103869,481067,40475,349799,755790
54,3,WV,1852994,1739988,63124,3787,12406,428,6119,22268
55,2,WI,5686986,4902067,359148,54526,129234,1827,135867,336056
56,4,WY,563626,511279,4748,13336,4426,427,17049,50231
72,9,PR,3725789,2825100,461498,19839,6831,370,289905,3688455
